Faktura,Firma,IC,DIC,Vystaveno,Splatnost,Castka,Mena,Zbyva,Kontakt,Telefon,Poznamka
2026/001,ACME s.r.o.,12345678,CZ12345678,3.1.2026,18.1.2026,"45 000,00",CZK,"45 000,00",Jan Novák,+420 601 234 567,
2026/002,Beta Trading,87654321,,5.1.2026,20.1.2026,"12 500,00",CZK,"12 500,00",,,urgentní
2026/003,ACME  s.r.o.,12345678,CZ12345678,10.1.2026,25.1.2026,"8 900,00",CZK,"8 900,00",Jan Novák,+420 601 234 567,duplicitní odběratel
2026/004,Gamma Logistics a.s.,11223344,CZ11223344,12.1.2026,27.1.2026,"156 000,00",CZK,"78 000,00",Petra Svobodová,+420 602 345 678,částečná úhrada
2026/005,"Delta Stavby, s.r.o.",55667788,CZ55667788,15.1.2026,30.1.2026,"34 200,00",CZK,"34 200,00",,,
2026/006,Epsilon Tech s.r.o.,99887766,,18.1.2026,2.2.2026,"67 800,00",CZK,"67 800,00",Martin Dvořák,,chybí DIC
2026/007,beta trading s.r.o.,87654321,CZ87654321,20.1.2026,4.2.2026,"9 100,00",CZK,"9 100,00",,,jiný zápis názvu
2026/008,Zeta Cleaning,33445566,CZ33445566,22.1.2026,6.2.2026,"18 500,00",CZK,"18 500,00",Eva Králová,+420 603 456 789,
2026/009,ACME SRO,12345678,CZ12345678,25.1.2026,9.2.2026,"22 000,00",CZK,"22 000,00",Jan Novák,,třetí varianta názvu
2026/010,Eta Transport,77889900,CZ77889900,28.1.2026,12.2.2026,"93 000,00",CZK,"93 000,00",,+420 604 567 890,
2026/011,,11223344,CZ11223344,1.2.2026,16.2.2026,"45 000,00",CZK,"45 000,00",Petra Svobodová,,chybí název firmy
2026/012,Theta Packaging s.r.o.,22334455,CZ22334455,3.2.2026,18.2.2026,"28 700,00",CZK,"28 700,00",,,
